TurkishSentiNet,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),TurkishSentiNet,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"85,530","60,799",0 (0),TraceMOP,"421,671","334,681","63,329,660",34,0 (0)
ValgJ,"18,277","9,005",0 (0),ValgT,"110,526","60,994","20,055",34,0 (0)
Jaba,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),Jaba,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"107,595","132,305","1,195,789 (2)",TraceMOP,"270,008","237,073","22,130,587","4,974","1,195,789 (2)"
ValgJ,"100,742","81,800","34,824 (2)",ValgT,"169,481","104,764","2,886,332","1,997","35,027 (2)"
ef-redis,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),ef-redis,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"67,588","53,885",0 (0),TraceMOP,"251,052","186,241","40,000,114",83,0 (0)
ValgJ,"35,743","15,149",0 (0),ValgT,"83,425","11,120","40,077",78,0 (0)
PointCloudUtilities,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),PointCloudUtilities,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"61,730","71,367","79,582 (4)",TraceMOP,"296,985","279,476","6,716,951","40,809",16 (2)
ValgJ,"54,574","39,667",15 (4),ValgT,"194,855","155,964","145,662","39,916",16 (2)
jcunit,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jcunit,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"509,085","679,114","1,627 (3)",TraceMOP,"2,478,445","2,088,045","143,976,550","7,582",29 (1)
ValgJ,"523,613","488,843",8 (3),ValgT,"817,669","798,219","8,527,875","5,803",21 (1)
finmath-lib,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),finmath-lib,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"18,811,915",,"12,942,804 (175)",TraceMOP,"24,862,481",,"12,942,772",155,0 (0)
ValgJ,"3,971,464",,"53,223 (175)",ValgT,"6,162,734",,"54,149",155,0 (0)
TurkishMorphological..,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"8,245,991","8,933,812",0 (0),,,,,,
ValgJ,"2,407,165","2,408,688",0 (0),,,,,,
TurkishDeasciifier,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),TurkishDeasciifier,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"6,076,703","6,222,223",0 (0),TraceMOP,"40,366","23,772","1,511,603","5,239",0 (0)
ValgJ,"2,096,750","2,226,878",0 (0),ValgT,"32,019","12,440","688,750","4,874",0 (0)
TurkishSpellChecker,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),TurkishSpellChecker,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"17,555,230","18,108,802",0 (0),TraceMOP,"520,575","364,651","24,528,513","28,460",0 (0)
ValgJ,"2,026,223","1,981,869",0 (0),ValgT,"362,299","235,176","2,858,911","24,695",0 (0)
TurkishWordNet,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"1,408,579","1,402,489",0 (0),,,,,,
ValgJ,"462,837","187,814",0 (0),,,,,,
CoreNLP,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"22,660,278","12,909,497","3,176,365 (116)",,,,,,
ValgJ,"8,255,947","3,908,796","391,861 (113)",,,,,,
java-future-jdk8,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),java-future-jdk8,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"4,995,657","8,873,947",0 (0),TraceMOP,"32,891,626","33,000,643","500,028",124,0 (0)
ValgJ,"5,637,402","4,677,375",0 (0),ValgT,"6,426,972","5,357,041","25,048",124,0 (0)
json-rules,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"18,627,579","2,336,274",397 (1),,,,,,
ValgJ,"8,366,593","1,134,577",22 (1),,,,,,
jackson-core,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jackson-core,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"110,148","89,906","23,325 (202)",TraceMOP,"86,777,900","2,324,675","28,556,901","2,782","2,568 (180)"
ValgJ,"95,814","36,027","2,590 (202)",ValgT,"254,990","41,923","216,538","2,618","1,563 (180)"
cocolian-nlp,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),cocolian-nlp,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"102,169","97,017",20 (1),TraceMOP,"86,707,883","256,933","25,105,697","34,415",20 (1)
ValgJ,"87,750","64,148",6 (1),ValgT,"157,225","99,393","947,181","16,165",14 (1)
pgs-calc,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),pgs-calc,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"195,914","215,489","1,122 (7)",TraceMOP,"87,651,426","1,217,569","55,084,667","7,769","1,098 (6)"
ValgJ,"135,717","59,452",372 (7),ValgT,"290,112","121,460","444,787","4,059",388 (6)
orientdb-etl,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),,,,,,
JavaMOP,"28,152,887","34,158,754","2,004,565 (17)",,,,,,
ValgJ,"19,065,653","7,446,630","2,634 (17)",,,,,,
