HyperMinHash-java,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
e0f7e1683e87066dbb036c454e535ccfc9824535,208.38,19(4),2.61,0(0),2.74,0(0),2.63,0(0),2.6,0(0)
c77bcf2a3ff34582f9edba2d64dda8ed24e0f4df,183.44,19(4),2.6,0(0),2.63,0(0),2.75,0(0),2.9,0(0)
5db684dd4eff2d965a83f336c4f46199073cc15b,186.79,19(4),2.65,0(0),2.59,0(0),2.61,0(0),3.9,0(0)
2432c15fffdda580bbd520db28f4ac6f490a431f,207.9,19(4),4.28,0(0),4.38,0(0),4.21,0(0),4.12,0(0)
b551447623e77aa555a19a0ea9c77c16aeaa4a87,188.14,19(4),4.27,0(0),4.26,0(0),4.14,0(0),4.34,0(0)
7da3d606a192321217f6b780b6ab4fdcd8e3e1ed,184.62,19(4),2.55,0(0),2.56,0(0),2.58,0(0),2.61,0(0)
rtree,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
25703f27d81564ba9e6e0425032b248618dc13ad,329.42,84047(18),620.35,84047(18),179.33,21(18),344.39,84047(18),181.29,21(18)
b86277cfdef9cfea460228469f4b29c0ae61601b,329.79,84047(18),21.38,0(0),9.06,0(0),13.53,0(0),7.13,0(0)
0f72e72cdf1f2ca75ef495a1faa47d79b5d634e5,324.82,84047(18),3.44,0(0),3.11,0(0),2.75,0(0),6.09,0(0)
608f6249be6b4152636fadbfd3fd182b9b18461d,326.84,84047(18),3.94,0(0),2.86,0(0),2.8,0(0),3.19,0(0)
45bdb56b1af51a1f6c19ae3e9afdfb05fd3f1c7f,322.85,84047(18),2.82,0(0),3.69,0(0),2.76,0(0),2.8,0(0)
f2895ffd35fdc678b041779b232140865fdf3e41,338.76,84047(18),2.79,0(0),3.1,0(0),2.69,0(0),5.88,0(0)
